Name,Date,Price
AEX,2012-06-29,307.31
AEX,2012-07-31,326.47
AEX,2012-08-31,329.28
AEX,2012-09-28,323.18
AEX,2012-10-31,330.76
AEX,2012-11-30,336.55
AEX,2012-12-31,342.71
AEX,2013-01-31,354.35
AEX,2013-02-28,340.53
AEX,2013-03-29,348.1
AEX,2013-04-30,351.39
AEX,2013-05-31,363.38
AEX,2013-06-28,344.59
AEX,2013-07-31,369.81
AEX,2013-08-30,362.93
AEX,2013-09-30,374.92
AEX,2013-10-31,391.92
AEX,2013-11-29,396.55
AEX,2013-12-31,401.79
AEX,2014-01-31,386.85
AEX,2014-02-28,398.54
AEX,2014-03-31,403.21
AEX,2014-04-30,400.55
AEX,2014-05-30,407.21
AEX,2014-06-30,413.15
AEX,2014-07-31,404.29
AEX,2014-08-29,413.13
AEX,2014-09-30,421.14
AEX,2014-10-31,411.32
AEX,2014-11-28,425.86
AEX,2014-12-31,424.47
AEX,2015-01-30,450.39
AEX,2015-02-27,483.93
AEX,2015-03-31,489.41
AEX,2015-04-30,487.85
AEX,2015-05-29,493.56
AEX,2015-06-30,472.58
AEX,2015-07-31,495.23
AEX,2015-08-31,445.03
AEX,2015-09-30,421.14
AEX,2015-10-30,462.12
AEX,2015-11-30,469.52
AEX,2015-12-31,441.82
AEX,2016-01-29,431.28
AEX,2016-02-29,427.27
AEX,2016-03-31,440.11
AEX,2016-04-29,439.68
AEX,2016-05-31,447.87
AEX,2016-06-30,435.88
AEX,2016-07-29,449.83
AEX,2016-08-31,454.38
AEX,2016-09-30,452.33
AEX,2016-10-31,452.59
AEX,2016-11-30,457.21
AEX,2016-12-30,483.17
AEX,2017-01-31,476.71
AEX,2017-02-28,495.35
AEX,2017-03-31,516.54
AEX,2017-04-28,521.13
AEX,2017-05-31,524.07
AEX,2017-06-30,507.15
AEX,2017-07-31,525.44
AEX,2017-08-31,516.04
AEX,2017-09-29,537.06
AEX,2017-10-31,553.38
AEX,2017-11-30,540.11
AEX,2017-12-29,544.58
AEX,2018-01-31,560.52
AEX,2018-02-28,535.58
AEX,2018-03-30,529.52
AEX,2018-04-30,555.73
AEX,2018-05-31,552.85
AEX,2018-06-29,551.68
AEX,2018-07-31,574.25
AEX,2018-08-31,558.42
AEX,2018-09-28,549.62
AEX,2018-10-31,518.71
AEX,2018-11-30,519.37
AEX,2018-12-31,487.88
AEX,2019-01-31,520.63
AEX,2019-02-28,541.05
AEX,2019-03-29,548.98
AEX,2019-04-30,571.6
AEX,2019-05-31,540.49
AEX,2019-06-28,561.76
AEX,2019-07-31,572.09
AEX,2019-08-30,558.35
AEX,2019-09-30,580.23
AEX,2019-10-31,576.63
AEX,2019-11-29,597.29
AEX,2019-12-31,604.58
AEX,2020-01-31,589.5
AEX,2020-02-28,539.38
AEX,2020-03-31,483.44
AEX,2020-04-30,512.92
AEX,2020-05-29,532.57
AEX,2020-06-30,559.73
AEX,2020-07-31,545.29
AEX,2020-08-31,549.2
AEX,2020-09-30,547.7
AEX,2020-10-30,533.88
AEX,2020-11-30,606.02
AEX,2020-12-31,624.61
AEX,2021-01-29,637.11
AEX,2021-02-26,651.26
AEX,2021-03-31,699.85
AEX,2021-04-30,707.56
AEX,2021-05-31,709.36
AEX,2021-06-30,729.52
AEX,2021-07-30,754.31
AEX,2021-08-31,787.62
AEX,2021-09-30,771.94
AEX,2021-10-29,810.91
AEX,2021-11-30,777.39
AEX,2021-12-31,797.93
AEX,2022-01-31,755.2
AEX,2022-02-28,729.72
AEX,2022-03-31,724.2
AEX,2022-04-29,710.98
AEX,2022-05-31,712.88
AEX,2022-06-30,659.23
AEX,2022-07-29,729.44
AEX,2022-08-31,680.31
AEX,2022-09-30,640.62
AEX,2022-10-31,670.62
AEX,2022-11-30,724.1
AEX,2022-12-30,689.01
AEX,2023-01-31,745.19
AEX,2023-02-28,752.93
AEX,2023-03-31,756.18
AEX,2023-04-28,758.49
AEX,2023-05-31,748.86
AEX,2023-06-30,773.94
AEX,2023-07-31,792
AEX,2023-08-31,743.62
AEX,2023-09-29,728.79
AEX,2023-10-31,718.6
AEX,2023-11-30,765.04
AEX,2023-12-29,786.82
AEX,2024-01-31,818.21
AEX,2024-02-29,848.44
AEX,2024-03-29,881.78
AEX,2024-04-30,878.83
AEX,2024-05-31,903.61
AEX,2024-06-28,923.85
AEX,2024-07-31,920.62
AEX,2024-08-30,918.66
AEX,2024-09-30,910.12
AEX,2024-10-31,874.18
AEX,2024-11-29,881.73
AEX,2024-12-31,878.63
ALUMINUM,1997-07-31,1710.5
ALUMINUM,1997-08-29,1617.5
ALUMINUM,1997-09-30,1646.75
ALUMINUM,1997-10-31,1615
ALUMINUM,1997-11-28,1582.75
ALUMINUM,1997-12-31,1538.37
ALUMINUM,1998-01-30,1522.38
ALUMINUM,1998-02-27,1463.97
ALUMINUM,1998-03-31,1428.92
ALUMINUM,1998-04-30,1428.89
ALUMINUM,1998-05-29,1355.43
ALUMINUM,1998-06-30,1307.74
ALUMINUM,1998-07-31,1332.32
ALUMINUM,1998-08-31,1342.5
ALUMINUM,1998-09-30,1308.25
ALUMINUM,1998-10-30,1302.25
ALUMINUM,1998-11-30,1301.75
ALUMINUM,1998-12-31,1242
ALUMINUM,1999-01-29,1193.5
ALUMINUM,1999-02-26,1172.75
ALUMINUM,1999-03-31,1217.75
ALUMINUM,1999-04-30,1350.25
ALUMINUM,1999-05-31,1253.75
ALUMINUM,1999-06-30,1383.75
ALUMINUM,1999-07-30,1386.25
ALUMINUM,1999-08-31,1460.25
ALUMINUM,1999-09-30,1487.25
ALUMINUM,1999-10-29,1479.75
ALUMINUM,1999-11-30,1530.5
ALUMINUM,1999-12-31,1636.51
ALUMINUM,2000-01-31,1736.5
ALUMINUM,2000-02-29,1578
ALUMINUM,2000-03-31,1532.5
ALUMINUM,2000-04-28,1468.25
ALUMINUM,2000-05-31,1454.5
ALUMINUM,2000-06-30,1565.75
ALUMINUM,2000-07-31,1552.5
ALUMINUM,2000-08-31,1573.75
ALUMINUM,2000-09-29,1586
ALUMINUM,2000-10-31,1482.25
ALUMINUM,2000-11-30,1505.5
ALUMINUM,2000-12-29,1572.5
ALUMINUM,2001-01-31,1656
ALUMINUM,2001-02-28,1570.25
ALUMINUM,2001-03-30,1478.25
ALUMINUM,2001-04-30,1561
ALUMINUM,2001-05-31,1498.7
ALUMINUM,2001-06-29,1454.25
ALUMINUM,2001-07-31,1422.75
ALUMINUM,2001-08-31,1415
ALUMINUM,2001-09-28,1333.75
ALUMINUM,2001-10-31,1265.5
ALUMINUM,2001-11-30,1458.25
ALUMINUM,2001-12-31,1342.5
ALUMINUM,2002-01-31,1381.75
ALUMINUM,2002-02-28,1394.5
ALUMINUM,2002-03-29,1389.5
ALUMINUM,2002-04-30,1379
ALUMINUM,2002-05-31,1381
ALUMINUM,2002-06-28,1372.5
ALUMINUM,2002-07-31,1303
ALUMINUM,2002-08-30,1296.25
ALUMINUM,2002-09-30,1284
ALUMINUM,2002-10-31,1349
ALUMINUM,2002-11-29,1394.5
ALUMINUM,2002-12-31,1349.25
ALUMINUM,2003-01-31,1417.25
ALUMINUM,2003-02-28,1423.75
ALUMINUM,2003-03-31,1343.5
ALUMINUM,2003-04-30,1364.5
ALUMINUM,2003-05-30,1437.75
ALUMINUM,2003-06-30,1392
ALUMINUM,2003-07-31,1479.5
ALUMINUM,2003-08-29,1432.75
ALUMINUM,2003-09-30,1413.25
ALUMINUM,2003-10-31,1517.5
ALUMINUM,2003-11-28,1540.75
ALUMINUM,2003-12-31,1592.75
ALUMINUM,2004-01-30,1644.75
ALUMINUM,2004-02-27,1709
ALUMINUM,2004-03-31,1715
ALUMINUM,2004-04-30,1658.25
ALUMINUM,2004-05-31,1683.75
ALUMINUM,2004-06-30,1720.25
ALUMINUM,2004-07-30,1696.5
ALUMINUM,2004-08-31,1685.25
ALUMINUM,2004-09-30,1861.5
ALUMINUM,2004-10-29,1847
ALUMINUM,2004-11-30,1840.5
ALUMINUM,2004-12-31,1963.5
ALUMINUM,2005-01-31,1868
ALUMINUM,2005-02-28,1929
ALUMINUM,2005-03-31,1984.5
ALUMINUM,2005-04-29,1822.75
ALUMINUM,2005-05-31,1735.5
ALUMINUM,2005-06-30,1707.5
ALUMINUM,2005-07-29,1841.75
ALUMINUM,2005-08-31,1838.75
ALUMINUM,2005-09-30,1837.75
ALUMINUM,2005-10-31,1996
ALUMINUM,2005-11-30,2147.5
ALUMINUM,2005-12-30,2284.25
ALUMINUM,2006-01-31,2499
ALUMINUM,2006-02-28,2396.5
ALUMINUM,2006-03-31,2451.25
ALUMINUM,2006-04-28,2742
ALUMINUM,2006-05-31,2628
ALUMINUM,2006-06-30,2599.75
ALUMINUM,2006-07-31,2535
ALUMINUM,2006-08-31,2471.5
ALUMINUM,2006-09-29,2562
ALUMINUM,2006-10-31,2807
ALUMINUM,2006-11-30,2723.5
ALUMINUM,2006-12-29,2838
ALUMINUM,2007-01-31,2796.5
ALUMINUM,2007-02-28,2829
ALUMINUM,2007-03-30,2778.5
ALUMINUM,2007-04-30,2845.5
ALUMINUM,2007-05-31,2763.5
ALUMINUM,2007-06-29,2686.25
ALUMINUM,2007-07-31,2700.5
ALUMINUM,2007-08-31,2497.25
ALUMINUM,2007-09-28,2475
ALUMINUM,2007-10-31,2505
ALUMINUM,2007-11-30,2458.5
ALUMINUM,2007-12-31,2366
ALUMINUM,2008-01-31,2682
ALUMINUM,2008-02-29,3076
ALUMINUM,2008-03-31,2951.25
ALUMINUM,2008-04-30,2871.25
